subject,scan,n_blinks,mean_blink_dur,median_blink_dur,n_microsleeps
192641,MOV2,510,370.04901960784315,228.5,18
192641,MOV3,714,333.16946778711485,227.0,28
192641,MOV4,674,286.43620178041544,203.0,20
185442,REST1,288,853.1215277777778,189.5,2
185442,REST4,608,804.1052631578947,205.0,65
185442,MOV1,523,168.4206500956023,146.0,1
185442,MOV2,464,163.50215517241378,142.0,0
185442,MOV3,628,175.37420382165604,153.0,0
185442,MOV4,604,310.0629139072848,216.0,26
380036,REST1,332,265.4096385542169,237.5,2
380036,REST4,283,612.2720848056537,215.0,39
380036,MOV1,216,299.212962962963,233.0,4
380036,MOV2,195,267.65641025641025,222.0,4
380036,MOV3,207,481.8647342995169,171.0,5
380036,MOV4,193,539.1968911917098,199.0,11
205220,REST1,455,388.36483516483514,240.0,24
205220,REST4,790,1221.7848101265822,230.5,191
205220,MOV1,620,832.0064516129032,291.0,103
205220,MOV2,530,223.78301886792454,192.0,5
205220,MOV3,538,1159.174721189591,211.0,87
205220,MOV4,760,513.953947368421,176.0,73
156334,REST1,275,404.8218181818182,157.0,25
156334,REST4,461,298.73752711496746,155.0,22
156334,MOV1,274,1811.5912408759125,220.5,77
156334,MOV2,224,3210.5401785714284,161.5,48
156334,MOV3,322,1182.6180124223602,153.0,57
156334,MOV4,338,390.1656804733728,135.5,22
389357,REST1,101,148.1980198019802,163.0,0
389357,REST4,430,135.3046511627907,79.0,0
389357,MOV1,412,266.28155339805824,103.0,25
389357,MOV2,236,153.58050847457628,68.0,7
389357,MOV3,301,308.46179401993356,59.0,5
389357,MOV4,254,119.31889763779527,68.0,4
144226,REST1,856,279.82593457943926,278.0,0
144226,REST4,853,288.0164126611958,243.0,19
144226,MOV1,1101,190.8437783832879,194.0,6
144226,MOV2,1089,234.20661157024793,188.0,24
144226,MOV3,873,170.05154639175257,168.0,4
144226,MOV4,972,154.84670781893004,161.0,3
360030,REST1,303,136.74587458745876,138.0,0
360030,REST4,368,163.20923913043478,162.0,0
360030,MOV1,484,157.08264462809916,154.0,0
360030,MOV2,396,151.06060606060606,142.5,1
360030,MOV3,485,192.48865979381443,149.0,2
360030,MOV4,475,220.98105263157893,155.0,4
100610,REST1,307,177.33224755700326,137.0,6
100610,REST4,209,184.41148325358853,182.0,0
100610,MOV1,311,179.32797427652733,148.0,4
100610,MOV2,154,152.74025974025975,145.5,0
100610,MOV3,190,173.2842105263158,158.0,0
100610,MOV4,250,209.924,181.0,1
165436,REST1,61,161.24590163934425,122.0,1
165436,REST4,186,126.36559139784946,120.0,0
165436,MOV1,271,90.08856088560886,94.0,0
165436,MOV2,275,88.25454545454545,88.0,1
165436,MOV3,213,131.69953051643193,108.0,1
165436,MOV4,262,120.87022900763358,92.0,1
118225,REST1,423,299.11347517730496,297.0,1
118225,REST4,1140,262.8359649122807,69.0,28
118225,MOV1,616,267.2386363636364,253.5,17
118225,MOV2,1290,392.51937984496124,51.5,140
118225,MOV3,855,220.4701754385965,200.0,11
118225,MOV4,1577,131.05009511731134,27.0,21
352738,REST1,71,8185.3239436619715,250.0,17
352738,REST4,100,756.48,102.5,2
352738,MOV1,240,126.2625,39.0,3
352738,MOV2,216,113.25925925925925,42.5,2
352738,MOV3,198,273.3181818181818,103.5,8
352738,MOV4,169,157.02958579881656,30.0,3
102311,REST1,0,,,0
102311,REST4,557,745.0520646319569,55.0,58
102311,MOV1,255,3907.4980392156863,51.0,57
102311,MOV2,36,27848.527777777777,37.5,8
102311,MOV3,573,415.0732984293194,126.0,24
102311,MOV4,416,868.5144230769231,185.0,47
146432,REST1,456,1078.1907894736842,137.5,78
