order,duration,onset,object_id,face_locations
,0.5,677.0,0,"(219, 820, 374, 666)"
,0.5,677.5,0,"(219, 838, 374, 683)"
,0.5,678.5,0,"(188, 884, 262, 809)"
,0.5,679.0,0,"(383, 612, 512, 483)"
,0.5,679.0,1,"(216, 772, 305, 683)"
,0.5,679.5,0,"(383, 741, 512, 612)"
,0.5,680.0,0,"(383, 984, 512, 855)"
,0.5,680.0,1,"(394, 173, 430, 137)"
,0.5,685.0,0,"(370, 328, 433, 266)"
,0.5,685.5,0,"(163, 378, 237, 303)"
,0.5,689.5,0,"(219, 322, 374, 167)"
,0.5,690.0,0,"(219, 322, 374, 167)"
,0.5,690.5,0,"(202, 322, 356, 167)"
,0.5,691.0,0,"(202, 322, 356, 167)"
,0.5,691.5,0,"(211, 311, 340, 182)"
,0.5,692.0,0,"(211, 311, 340, 182)"
,0.5,692.5,0,"(266, 712, 489, 489)"
,0.5,693.0,0,"(266, 712, 489, 489)"
,0.5,694.0,0,"(266, 786, 489, 563)"
,0.5,694.5,0,"(266, 786, 489, 563)"
,0.5,695.0,0,"(266, 761, 489, 538)"
,0.5,695.5,0,"(316, 637, 539, 414)"
,0.5,696.0,0,"(316, 613, 539, 390)"
,0.5,696.5,0,"(341, 613, 563, 390)"
,0.5,697.0,0,"(341, 588, 563, 365)"
,0.5,697.5,0,"(341, 588, 563, 365)"
,0.5,698.0,0,"(341, 588, 563, 365)"
,0.5,698.5,0,"(341, 588, 563, 365)"
,0.5,699.0,0,"(316, 588, 539, 365)"
,0.5,699.5,0,"(316, 588, 539, 365)"
,0.5,700.0,0,"(316, 588, 539, 365)"
,0.5,700.5,0,"(316, 588, 539, 365)"
,0.5,701.0,0,"(184, 373, 339, 218)"
,0.5,701.5,0,"(202, 373, 356, 218)"
,0.5,702.0,0,"(202, 373, 356, 218)"
,0.5,702.5,0,"(202, 356, 356, 201)"
,0.5,703.5,0,"(316, 613, 539, 390)"
,0.5,704.0,0,"(316, 613, 539, 390)"
,0.5,704.5,0,"(316, 613, 539, 390)"
,0.5,705.0,0,"(316, 613, 539, 390)"
,0.5,705.5,0,"(316, 613, 539, 390)"
,0.5,706.0,0,"(316, 613, 539, 390)"
,0.5,706.5,0,"(316, 613, 539, 390)"
,0.5,707.0,0,"(316, 613, 539, 390)"
,0.5,707.5,0,"(316, 613, 539, 390)"
,0.5,708.0,0,"(316, 613, 539, 390)"
,0.5,708.5,0,"(288, 700, 442, 545)"
,0.5,709.0,0,"(282, 683, 411, 554)"
,0.5,709.5,0,"(282, 683, 411, 554)"
,0.5,710.0,0,"(268, 669, 397, 540)"
,0.5,710.5,0,"(268, 640, 397, 511)"
,0.5,711.0,0,"(253, 666, 408, 511)"
,0.5,711.5,0,"(268, 669, 397, 540)"
,0.5,712.0,0,"(254, 669, 383, 540)"
,0.5,712.5,0,"(254, 669, 383, 540)"
,0.5,713.0,0,"(268, 683, 397, 554)"
,0.5,713.5,0,"(268, 726, 397, 597)"
,0.5,714.5,0,"(263, 716, 449, 531)"
,0.5,716.0,0,"(231, 498, 498, 230)"
,0.5,716.5,0,"(231, 498, 498, 230)"
,0.5,717.0,0,"(242, 613, 428, 428)"
,0.5,717.5,0,"(231, 646, 498, 379)"
,0.5,718.0,0,"(284, 551, 469, 366)"
,0.5,721.0,0,"(206, 633, 527, 312)"
,0.5,721.5,0,"(231, 676, 498, 409)"
,0.5,722.0,0,"(260, 587, 528, 319)"
,0.5,722.5,0,"(260, 527, 528, 260)"
,0.5,723.0,0,"(260, 527, 528, 260)"
,0.5,723.5,0,"(231, 498, 498, 230)"
,0.5,724.0,0,"(206, 669, 527, 348)"
,0.5,724.5,0,"(170, 669, 491, 348)"
,0.5,725.0,0,"(206, 669, 527, 348)"
,0.5,725.5,0,"(170, 633, 491, 312)"
,0.5,726.0,0,"(260, 527, 528, 260)"
,0.5,726.5,0,"(260, 527, 528, 260)"
,0.5,727.0,0,"(260, 557, 528, 290)"
,0.5,727.5,0,"(241, 669, 562, 348)"
,0.5,728.0,0,"(260, 676, 528, 409)"
,0.5,728.5,0,"(206, 598, 527, 277)"
,0.5,729.0,0,"(231, 468, 498, 200)"
,0.5,729.5,0,"(231, 468, 498, 200)"
,0.5,730.0,0,"(231, 498, 498, 230)"
,0.5,730.5,0,"(241, 526, 562, 205)"
,0.5,731.5,0,"(119, 675, 504, 290)"
,0.5,732.0,0,"(134, 633, 455, 312)"
,0.5,732.5,0,"(134, 633, 455, 312)"
,0.5,733.0,0,"(170, 598, 491, 277)"
,0.5,734.0,0,"(255, 693, 345, 603)"
,0.5,759.0,0,"(228, 510, 280, 458)"
,0.5,759.5,0,"(246, 405, 308, 342)"
,0.5,759.5,1,"(324, 602, 367, 559)"
,0.5,760.0,0,"(320, 584, 372, 533)"
,0.5,762.0,0,"(211, 454, 340, 325)"
,0.5,762.5,0,"(235, 378, 343, 270)"
,0.5,767.0,0,"(315, 633, 405, 544)"
,0.5,767.5,0,"(305, 514, 395, 424)"
,0.5,850.0,0,"(247, 375, 632, 0)"
,0.5,861.0,0,"(52, 617, 320, 349)"
,0.5,861.5,0,"(112, 527, 379, 260)"
,0.5,862.0,0,"(112, 409, 379, 141)"
,0.5,862.5,0,"(112, 468, 379, 200)"
,0.5,867.0,0,"(428, 696, 614, 510)"
,0.5,874.0,0,"(22, 909, 65, 866)"
,0.5,874.0,1,"(50, 741, 94, 698)"
,0.5,874.0,2,"(107, 440, 159, 389)"
,0.5,874.0,3,"(46, 221, 82, 185)"
,0.5,874.0,4,"(177, 584, 239, 522)"
,0.5,874.5,0,"(12, 900, 55, 856)"
,0.5,874.5,1,"(31, 736, 74, 693)"
,0.5,874.5,2,"(87, 467, 149, 405)"
,0.5,875.0,0,"(15, 907, 67, 855)"
,0.5,875.0,1,"(31, 727, 74, 684)"
,0.5,875.0,2,"(147, 250, 199, 199)"
,0.5,875.0,3,"(87, 467, 149, 405)"
,0.5,878.5,0,"(402, 927, 510, 820)"
,0.5,878.5,1,"(378, 247, 486, 139)"
,0.5,879.5,0,"(375, 404, 464, 315)"
